S.No.,Title,Year,Duration,Rating,Score,Link
1,The Shawshank Redemption,1994,2h 22m,R,9.3,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
2,The Godfather,1972,2h 55m,R,9.2,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
3,Forrest Gump,1994,2h 22m,PG-13,8.8,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
4,Reservoir Dogs,1992,1h 39m,R,8.3,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_101
5,Scarface,1983,2h 50m,R,8.3,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_102
6,Heat,1995,2h 50m,R,8.3,https://www.imdb.com/title/tt0113277/?ref_=chttp_t_103
7,Double Indemnity,1944,1h 47m,Approved,8.3,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_104
8,North by Northwest,1959,2h 16m,Approved,8.3,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_105
9,Up,2009,1h 36m,PG,8.3,https://www.imdb.com/title/tt1049413/?ref_=chttp_t_106
10,Citizen Kane,1941,1h 59m,PG,8.3,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_107
11,M,1931,1h 39m,Passed,8.3,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_108
12,Full Metal Jacket,1987,1h 56m,R,8.2,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
13,Vertigo,1958,2h 8m,PG,8.2,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_110
14,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12
15,AmÃ©lie,2001,2h 2m,R,8.3,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_111
16,Taare Zameen Par,2007,2h 42m,PG,8.3,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_112
17,The Chaos Class Failed the Class,1975,1h 35m,UNKNOWN,8.7,https://www.imdb.com/title/tt0252488/?ref_=chttp_t_113
18,A Separation,2011,2h 3m,PG-13,8.3,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_114
19,To Kill a Mockingbird,1962,2h 9m,Approved,8.3,https://www.imdb.com/title/tt0056592/?ref_=chttp_t_115
20,Die Hard,1988,2h 12m,R,8.2,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_116
21,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117
22,A Clockwork Orange,1971,2h 16m,R,8.2,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_118
23,The Sting,1973,2h 9m,PG,8.2,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_119
24,Metropolis,1927,2h 33m,Not Rated,8.3,https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120
25,Fight Club,1999,2h 19m,R,8.8,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
26,Oppenheimer,2023,3h,R,8.3,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_121
27,Snatch,2000,1h 42m,R,8.2,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_122
28,1917,2019,1h 59m,R,8.2,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_123
29,L.A. Confidential,1997,2h 18m,R,8.2,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_124
30,Bicycle Thieves,1948,1h 29m,Not Rated,8.2,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_125
31,Downfall,2004,2h 36m,R,8.2,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_126
32,Dangal,2016,2h 41m,Not Rated,8.3,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_127
33,The Wolf of Wall Street,2013,3h,R,8.2,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_128
34,Hamilton,2020,2h 40m,PG-13,8.3,https://www.imdb.com/title/tt8503618/?ref_=chttp_t_129
35,Green Book,2018,2h 10m,PG-13,8.2,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_130
36,Inception,2010,2h 28m,PG-13,8.8,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
37,Taxi Driver,1976,1h 54m,R,8.2,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_131
38,Batman Begins,2005,2h 20m,PG-13,8.2,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_132
39,The Truman Show,1998,1h 43m,PG,8.2,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_133
40,For a Few Dollars More,1965,2h 12m,R,8.2,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_134
41,Judgment at Nuremberg,1961,2h 59m,Approved,8.3,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_135
42,Some Like It Hot,1959,2h 1m,Approved,8.2,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_136
43,Shutter Island,2010,2h 18m,R,8.2,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_137
44,The Kid,1921,1h 8m,Passed,8.2,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_138
45,The Father,2020,1h 37m,PG-13,8.2,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_139
46,Jurassic Park,1993,2h 7m,PG-13,8.2,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_140
47,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
48,All About Eve,1950,2h 18m,Approved,8.2,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_141
49,There Will Be Blood,2007,2h 38m,R,8.2,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_142
50,The Sixth Sense,1999,1h 47m,PG-13,8.2,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_143
51,Ran,1985,2h 40m,R,8.2,https://www.imdb.com/title/tt0089881/?ref_=chttp_t_144
52,Casino,1995,2h 58m,R,8.2,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_145
53,Top Gun: Maverick,2022,2h 10m,PG-13,8.2,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_146
54,No Country for Old Men,2007,2h 2m,R,8.2,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_147
55,The Thing,1982,1h 49m,R,8.2,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_148
56,Unforgiven,1992,2h 10m,R,8.2,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_149
57,Pan's Labyrinth,2006,1h 58m,R,8.2,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_150
58,The Matrix,1999,2h 16m,R,8.7,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
59,Kill Bill: Vol. 1,2003,1h 51m,R,8.2,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151
60,A Beautiful Mind,2001,2h 15m,PG-13,8.2,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_152
61,Prisoners,2013,2h 33m,R,8.2,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_153
62,The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_154
63,Yojimbo,1961,1h 50m,Not Rated,8.2,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_155
64,Finding Nemo,2003,1h 40m,G,8.2,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156
65,Howl's Moving Castle,2004,1h 59m,PG,8.2,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_157
66,The Great Escape,1963,2h 52m,Approved,8.2,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_158
67,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_159
68,The Elephant Man,1980,2h 4m,PG,8.2,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
69,Goodfellas,1990,2h 25m,R,8.7,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
70,Dial M for Murder,1954,1h 45m,PG,8.2,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_161
71,Klaus,2019,1h 36m,PG,8.2,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_162
72,Gone with the Wind,1939,3h 58m,G,8.2,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163
73,Chinatown,1974,2h 10m,R,8.1,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_164
74,The Secret in Their Eyes,2009,2h 9m,R,8.2,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165
75,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_166
76,Rashomon,1950,1h 28m,Not Rated,8.2,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_167
77,V for Vendetta,2005,2h 12m,R,8.1,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_168
78,Inside Out,2015,1h 35m,PG,8.1,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_169
79,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_170
80,Interstellar,2014,2h 49m,PG-13,8.7,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_18
81,Catch Me If You Can,2002,2h 21m,PG-13,8.1,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_171
82,Trainspotting,1996,1h 33m,R,8.1,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_172
83,The Bridge on the River Kwai,1957,2h 41m,PG,8.1,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_173
84,Raging Bull,1980,2h 9m,R,8.1,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_174
85,The Wild Robot,2024,1h 42m,PG,8.2,https://www.imdb.com/title/tt29623480/?ref_=chttp_t_175
86,Fargo,1996,1h 38m,R,8.1,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_176
87,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_177
88,Warrior,2011,2h 20m,PG-13,8.1,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_178
89,Gran Torino,2008,1h 56m,R,8.1,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_179
90,Million Dollar Baby,2004,2h 12m,PG-13,8.1,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_180
91,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
92,Ben-Hur,1959,3h 32m,G,8.1,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_181
93,Mad Max: Fury Road,2015,2h,R,8.1,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_182
94,My Neighbor Totoro,1988,1h 26m,G,8.1,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_183
95,Barry Lyndon,1975,3h 5m,PG,8.1,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_184
96,Dead Poets Society,1989,2h 8m,PG,8.1,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_185
97,Children of Heaven,1997,1h 29m,PG,8.2,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_186
98,Hacksaw Ridge,2016,2h 19m,R,8.1,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_187
99,Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_188
100,The Grand Budapest Hotel,2014,1h 39m,R,8.1,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_189
101,12 Years a Slave,2013,2h 14m,R,8.1,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_190
102,Se7en,1995,2h 7m,R,8.6,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20
103,Before Sunrise,1995,1h 41m,R,8.1,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_191
104,Blade Runner,1982,1h 57m,R,8.1,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_192
105,Memories of Murder,2003,2h 12m,Not Rated,8.1,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_193
106,Gone Girl,2014,2h 29m,R,8.1,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_194
107,Ratatouille,2007,1h 51m,G,8.1,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_195
108,How to Train Your Dragon,2010,1h 38m,PG,8.1,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_196
109,"Monsters, Inc.",2001,1h 32m,G,8.1,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_197
110,In the Name of the Father,1993,2h 13m,R,8.1,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_198
111,Jaws,1975,2h 4m,PG,8.1,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_199
112,Wild Tales,2014,2h 2m,R,8.1,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_200
113,The Dark Knight,2008,2h 32m,PG-13,9,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
114,It's a Wonderful Life,1946,2h 10m,PG,8.6,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
115,The Gold Rush,1925,1h 35m,Approved,8.1,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_201
116,Sherlock Jr.,1924,45m,Passed,8.2,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_202
117,Ford v Ferrari,2019,2h 32m,PG-13,8.1,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_203
118,Mary and Max,2009,1h 32m,Not Rated,8.1,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_204
119,The Deer Hunter,1978,3h 3m,R,8.1,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_205
120,The Wages of Fear,1953,2h 36m,Not Rated,8.1,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_206
121,The General,1926,1h 18m,Passed,8.1,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_207
122,Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_208
123,On the Waterfront,1954,1h 48m,Approved,8.1,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_209
124,Logan,2017,2h 17m,R,8.1,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_210
125,The Silence of the Lambs,1991,1h 58m,R,8.6,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22
